ダウンロードした時刻：2021/03/10 11:46:05

,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）
2000/1/18,-0.5,8,1,2.9,8,2000/1/18 17:00,8,1,-5.7,8,2000/1/18 02:36,8,1,,,0,1,,,0,,0,0,1,19.6,0,8,1,31.5,8,1,20,0,8,,,,1,,,0,1,5.1,8,1,10.1,8,2000/1/18 05:10,8,東北東,8,1,14.0,8,2000/1/18 05:30,8,北東,8,1,,0,1,61,8,1,3.6,8,1,50,8,2000/1/18 15:49,8,1,974.0,8,1,976.5,8,1,0,1,8,,1,,1,1.3,8,1,快晴,8,1,曇時々晴,8,1
2000/1/19,1.4,8,1,4.9,8,2000/1/19 17:34,8,1,-2.0,8,2000/1/19 22:55,8,1,,,0,1,,,0,,0,0,1,19.1,0,8,1,31.1,8,1,18,0,8,,,,1,,,0,1,6.9,8,1,13.2,8,2000/1/19 05:30,8,東,8,1,16.7,8,2000/1/19 07:38,8,東,8,1,,0,1,52,8,1,3.5,8,1,36,8,2000/1/19 18:51,8,1,985.6,8,1,988.1,8,1,0,1,8,,1,,1,6.0,8,1,薄曇後晴,8,1,快晴,8,1
2000/1/20,-0.2,8,1,4.8,8,2000/1/20 14:09,8,1,-4.3,8,2000/1/21 0:00,8,1,,,0,1,,,0,,0,0,1,21.8,0,8,1,31.4,8,1,16,0,8,,,,1,,,0,1,5.1,8,1,10.7,8,2000/1/20 02:20,8,東,8,1,14.2,8,2000/1/20 02:16,8,東,8,1,,0,1,53,8,1,3.2,8,1,30,8,2000/1/20 13:42,8,1,982.0,8,1,984.6,8,1,0,1,8,,1,,1,0.0,8,1,快晴,8,1,快晴,8,1
2000/1/21,-2.6,8,1,0.6,8,2000/1/21 14:20,8,1,-6.9,8,2000/1/21 03:15,8,1,,,0,1,,,0,,0,0,1,21.5,0,8,1,31.2,8,1,14,0,8,,,,1,,,0,1,2.4,8,1,4.5,8,2000/1/21 22:00,8,北東,8,1,6.2,8,2000/1/21 23:53,8,北北東,8,1,,0,1,61,8,1,3.1,8,1,43,8,2000/1/21 08:19,8,1,981.3,8,1,983.8,8,1,0,1,8,,1,,1,0.0,8,1,快晴,8,1,快晴,8,1
2000/1/22,-3.9,8,1,-1.1,8,2000/1/22 17:55,8,1,-7.4,8,2000/1/22 03:20,8,1,,,0,1,,,0,,0,0,1,17.8,0,8,1,30.2,8,1,14,0,8,,,,1,,,0,1,2.4,8,1,4.2,8,2000/1/23 0:00,8,南南西,8,1,5.8,8,2000/1/22 00:13,8,北北東,8,1,,0,1,70,8,1,3.2,8,1,61,8,2000/1/22 07:22,8,1,986.5,8,1,989.1,8,1,0,1,8,,1,,1,4.8,8,1,晴,8,1,晴一時曇,8,1
2000/1/23,-4.1,8,1,-0.5,8,2000/1/23 15:38,8,1,-7.7,8,2000/1/24 0:00,8,1,,,0,1,,,0,,0,0,1,20.9,0,8,1,30.6,8,1,13,0,8,,,,1,,,0,1,3.4,8,1,5.4,8,2000/1/23 08:50,8,南,8,1,7.2,8,2000/1/23 04:07,8,南南西,8,1,,0,1,74,8,1,3.3,8,1,59,8,2000/1/23 16:15,8,1,984.8,8,1,987.4,8,1,0,1,8,,1,,1,0.0,8,1,快晴,8,1,晴後時々霧,8,1
2000/1/24,-7.2,8,1,-3.3,8,2000/1/24 16:56,8,1,-11.9,8,2000/1/24 05:26,8,1,,,0,1,,,0,,0,0,1,11.5,0,8,1,27.1,8,1,10,0,8,,,,1,,,0,1,2.3,8,1,3.9,8,2000/1/24 02:20,8,西,8,1,5.3,8,2000/1/24 21:37,8,南,8,1,,0,1,84,8,1,3.0,8,1,71,8,2000/1/24 17:22,8,1,982.0,8,1,984.6,8,1,0,1,8,,1,,1,7.5,8,1,曇一時霧後晴,8,1,晴時々曇後霧,8,1
2000/1/25,-7.5,8,1,-4.3,8,2000/1/25 14:00,8,1,-11.4,8,2000/1/25 02:39,8,1,,,0,1,,,0,,0,0,1,8.1,0,8,1,25.7,8,1,7,0,8,,,,1,,,0,1,2.1,8,1,3.5,8,2000/1/25 22:40,8,北,8,1,5.9,8,2000/1/25 21:36,8,北北東,8,1,,0,1,85,8,1,3.0,8,1,73,8,2000/1/25 14:02,8,1,982.7,8,1,985.3,8,1,0,1,8,,1,,1,5.8,8,1,晴時々曇,8,1,曇後一時晴,8,1
2000/1/26,-3.7,8,1,-0.2,8,2000/1/26 17:02,8,1,-6.7,8,2000/1/26 00:38,8,1,,,0,1,,,0,,0,0,1,8.9,0,8,1,24.3,8,1,6,0,8,,,,1,,,0,1,,1,1,5.6,8,2000/1/26 06:50,8,南,8,1,7.0,8,2000/1/26 09:09,8,南南西,8,1,,0,1,78,8,1,3.6,8,1,49,8,2000/1/26 16:49,8,1,983.5,8,1,986.1,8,1,0,1,8,,1,,1,8.5,8,1,晴後曇,8,1,晴時々曇,8,1
2000/1/27,-3.2,8,1,1.0,8,2000/1/27 15:31,8,1,-6.8,8,2000/1/27 03:24,8,1,,,0,1,,,0,,0,0,1,19.6,0,8,1,29.1,8,1,3,0,8,,,,1,,,0,1,3.6,8,1,9.7,8,2000/1/27 06:10,8,東,8,1,13.9,8,2000/1/27 06:07,8,東,8,1,,0,1,53,8,1,2.6,8,1,37,8,2000/1/27 11:18,8,1,982.7,8,1,985.2,8,1,0,1,8,,1,,1,4.3,8,1,晴一時薄曇,8,1,晴,8,1
